node_id,betweenness_count,balance(millisat)
1141,916,84716245000
753,916,117410500
399,916,11361208500
1686,915,29469632000
1195,915,145361500
999,915,8899810000
964,915,250000000
762,915,28591848000
666,915,259933000
282,915,130808974000
1903,914,8703288500
1225,914,1250000000
1207,914,55000000
773,914,214814500
685,914,54081434500
281,914,35025546000
1824,913,66537000
1492,913,9994842000
1171,913,2500000000
1845,912,398286000
1724,912,588195000
1455,912,572558000
535,912,1250000000
524,912,2325000000
440,912,5746619000
285,912,30275442000
225,912,59900000
5901,911,15000000
1907,911,24891418000
1641,911,154166500
1495,911,150000000
1086,911,198422500
549,911,463314500
464,911,875000000
1669,910,144953000
1383,910,3117469500
1309,910,520092000
